Code,Name,L,H,P,Grain,Colour,Material,DESCRIZIONE,TIPOLOGIA,AREALAVORO1,AREALAVORO2,FILECAM1,FILECAM2,Quantity,L2,H2,P2,BORDOSOPRA,BORDODESTRO,BORDOSOTTO,BORDOSINISTRO,Customer,BloccoAppartenenza,TOPEDGENAME,RIGHTEDGENAME,BOTTOMEDGENAME,LEFTEDGENAME,PRIORITYTOP,PRIORITYRIGHT,PRIORITYBOTTOM,PRIORITYLEFT,OWNERNAME,RAWL,RAWH,RAWP,NAMEVENEERPLANE,NAMEVENEERBELOW,IDVENEERPLANE,IDVENEERBELOW
11,SHELF,319,18,550,0,,,SHELF,Shelf,,,011pSHLF.cix,,1,-31.9,-1.8,-55,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC1,PVC1,0,0,0,0,Cabinet216,31.9,1.8,55,,,,
12,SHELF,319,18,550,0,,,SHELF,Shelf,,,012pSHLF.cix,,1,-31.9,-1.8,-55,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC1,PVC1,0,0,0,0,Cabinet216,31.9,1.8,55,,,,
13,SHELF,319,18,550,0,,,SHELF,Shelf,,,013pSHLF.cix,,1,-31.9,-1.8,-55,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC1,PVC1,0,0,0,0,Cabinet216,31.9,1.8,55,,,,
9,HORIZONTAL PARTITION,323,18,560,0,,,HORIZONTAL PARTITION,Partition,,,,009sHRZN.cix,1,-32.3,-1.8,-56,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC2,,0,0,0,0,Cabinet216,32.3,1.8,56,,,,
10,HORIZONTAL PARTITION,323,18,560,0,,,HORIZONTAL PARTITION,Partition,,,,010sHRZN.cix,1,-32.3,-1.8,-56,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC2,,0,0,0,0,Cabinet216,32.3,1.8,56,,,,
16,SHELF,919,18,550,0,,,SHELF,Shelf,,,016pSHLF.cix,,1,-91.9,-1.8,-55,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC1,PVC1,0,0,0,0,Cabinet216,91.9,1.8,55,,,,
14,HORIZONTAL PARTITION,923,18,560,0,,,HORIZONTAL PARTITION,Partition,,,,014sHRZN.cix,1,-92.3,-1.8,-56,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC2,,0,0,0,0,Cabinet216,92.3,1.8,56,,,,
15,HORIZONTAL PARTITION,923,18,560,0,,,HORIZONTAL PARTITION,Partition,,,,015sHRZN.cix,1,-92.3,-1.8,-56,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC2,,0,0,0,0,Cabinet216,92.3,1.8,56,,,,
4,TOP PANEL,1264,18,577,0,,,TOP PANEL,Top/Bottom,,,004pTPPN.cix,,1,-126.4,-1.8,-57.7,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,,PVC2,,0,0,0,0,Cabinet216,126.4,1.8,57.7,,,,
5,BOTTOM,1264,18,577,0,,,BOTTOM,Top/Bottom,,,005pBTTM.cix,,1,-126.4,-1.8,-57.7,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,,PVC2,,0,0,0,0,Cabinet216,126.4,1.8,57.7,,,,
8,FRONT TOE KICK,1264,18,74.2,0,,,FRONT TOE KICK,Toe kick board,,,008pFRNT.cix,,1,-126.4,-1.8,-7.42,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC0.8,,0,0,0,0,Cabinet216,126.4,1.8,7.42,,,,
7,VERTICAL PARTITION,1989,18,578,0,,,VERTICAL PARTITION,Partition,,,007pVRTC.cix,007sVRTC.cix,1,-198.9,-1.8,-57.8,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,PVC2,,0,0,0,0,Cabinet216,198.9,1.8,57.8,,,,
1,BACK PANEL,1999,8,333,0,,,BACK PANEL,Back panel,,,001pBCKP.cix,,1,-199.9,-0.8,-33.3,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,,,0,0,0,0,Cabinet216,199.9,0.8,33.3,,,,
3,BACK PANEL,1999,8,933,0,,,BACK PANEL,Back panel,,,003pBCKP.cix,,1,-199.9,-0.8,-93.3,,,,,Santosh M.Bedroom,Cabinet216 (#1),,,,,0,0,0,0,Cabinet216,199.9,0.8,93.3,,,,
2,LEFT LATERAL SIDE,2098,18,577,0,,,LEFT LATERAL SIDE,Lateral side,,,002pLFTL.cix,,1,-209.8,-1.8,-57.7,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC2,PVC1,0,0,0,0,Cabinet216,209.8,1.8,57.7,,,,
6,RIGHT LATERAL SIDE,2098,18,577,0,,,RIGHT LATERAL SIDE,Lateral side,,,006pRGHT.cix,,1,-209.8,-1.8,-57.7,,,,,Santosh M.Bedroom,Cabinet216 (#1),PVC1,PVC1,PVC2,PVC1,0,0,0,0,Cabinet216,209.8,1.8,57.7,,,,
